family,superfamily,infraorder,suborder
Crowsoniellidae,-,-,Archostemata
Cupedidae,-,-,Archostemata
Micromalthidae,-,-,Archostemata
Ommatidae,-,-,Archostemata
Jurodidae,-,-,Archostemata
Lepiceridae,Lepiceroidea,-,Myxophaga
Torridincolidae,Sphaeriusoidea,-,Myxophaga
Hydroscaphidae,Sphaeriusoidea,-,Myxophaga
Sphaeriusidae,Sphaeriusoidea,-,Myxophaga
Gyrinidae,-,-,Adephaga
Trachypachidae,-,-,Adephaga
Rhysodidae,-,-,Adephaga
Carabidae,-,-,Adephaga
Haliplidae,-,-,Adephaga
Meruidae,-,-,Adephaga
Noteridae,-,-,Adephaga
Amphizoidae,-,-,Adephaga
Aspidytidae,-,-,Adephaga
Hygrobiidae,-,-,Adephaga
Dytiscidae,-,-,Adephaga
Hydrophilidae,Hydrophiloidea,Staphyliniformia,Polyphaga
Sphaeritidae,Hydrophiloidea,Staphyliniformia,Polyphaga
Synteliidae,Hydrophiloidea,Staphyliniformia,Polyphaga
Histeridae,Hydrophiloidea,Staphyliniformia,Polyphaga
Hydraenidae,Staphylinoidea,Staphyliniformia,Polyphaga
Ptiliidae,Staphylinoidea,Staphyliniformia,Polyphaga
Agyrtidae,Staphylinoidea,Staphyliniformia,Polyphaga
Leiodidae,Staphylinoidea,Staphyliniformia,Polyphaga
Silphidae,Staphylinoidea,Staphyliniformia,Polyphaga
Staphylinidae,Staphylinoidea,Staphyliniformia,Polyphaga
Pleocomidae,Scarabaeoidea,Scarabaeiformia,Polyphaga
Geotrupidae,Scarabaeoidea,Scarabaeiformia,Polyphaga
Belohinidae,Scarabaeoidea,Scarabaeiformia,Polyphaga
Passalidae,Scarabaeoidea,Scarabaeiformia,Polyphaga
Trogidae,Scarabaeoidea,Scarabaeiformia,Polyphaga
Glaresidae,Scarabaeoidea,Scarabaeiformia,Polyphaga
Diphyllostomatidae,Scarabaeoidea,Scarabaeiformia,Polyphaga
Lucanidae,Scarabaeoidea,Scarabaeiformia,Polyphaga
Ochodaeidae,Scarabaeoidea,Scarabaeiformia,Polyphaga
Hybosoridae,Scarabaeoidea,Scarabaeiformia,Polyphaga
Glaphyridae,Scarabaeoidea,Scarabaeiformia,Polyphaga
Scarabaeidae,Scarabaeoidea,Scarabaeiformia,Polyphaga
Decliniidae,Scirtoidea,Elateriformia,Polyphaga
Eucinetidae,Scirtoidea,Elateriformia,Polyphaga
Clambidae,Scirtoidea,Elateriformia,Polyphaga
Scirtidae,Scirtoidea,Elateriformia,Polyphaga
Dascillidae,Dascilloidea,Elateriformia,Polyphaga
Rhipiceridae,Dascilloidea,Elateriformia,Polyphaga
Schizopodidae,Buprestoidea,Elateriformia,Polyphaga
Buprestidae,Buprestoidea,Elateriformia,Polyphaga
Byrrhidae,Byrrhoidea,Elateriformia,Polyphaga
Elmidae,Byrrhoidea,Elateriformia,Polyphaga
Dryopidae,Byrrhoidea,Elateriformia,Polyphaga
Lutrochidae,Byrrhoidea,Elateriformia,Polyphaga
Limnichidae,Byrrhoidea,Elateriformia,Polyphaga
Heteroceridae,Byrrhoidea,Elateriformia,Polyphaga
Psephenidae,Byrrhoidea,Elateriformia,Polyphaga
Cneoglossidae,Byrrhoidea,Elateriformia,Polyphaga
Ptilodactylidae,Byrrhoidea,Elateriformia,Polyphaga
Podabrocephalidae,Byrrhoidea,Elateriformia,Polyphaga
Chelonariidae,Byrrhoidea,Elateriformia,Polyphaga
Eulichadidae,Byrrhoidea,Elateriformia,Polyphaga
Callirhipidae,Byrrhoidea,Elateriformia,Polyphaga
Rhinorhipidae,Elateroidea,Elateriformia,Polyphaga
Artematopodidae,Elateroidea,Elateriformia,Polyphaga
Brachypsectridae,Elateroidea,Elateriformia,Polyphaga
Cerophytidae,Elateroidea,Elateriformia,Polyphaga
Eucnemidae,Elateroidea,Elateriformia,Polyphaga
Throscidae,Elateroidea,Elateriformia,Polyphaga
Elateridae,Elateroidea,Elateriformia,Polyphaga
Plastoceridae,Elateroidea,Elateriformia,Polyphaga
Drilidae,Elateroidea,Elateriformia,Polyphaga
Omalisidae,Elateroidea,Elateriformia,Polyphaga
Lycidae,Elateroidea,Elateriformia,Polyphaga
Telegeusidae,Elateroidea,Elateriformia,Polyphaga
Phengodidae,Elateroidea,Elateriformia,Polyphaga
Rhagophthalmidae,Elateroidea,Elateriformia,Polyphaga
Lampyridae,Elateroidea,Elateriformia,Polyphaga
Omethidae,Elateroidea,Elateriformia,Polyphaga
Cantharidae,Elateroidea,Elateriformia,Polyphaga
Derodontidae,Derodontoidea,Derodontiformia,Polyphaga
Nosodendridae,Derodontoidea,Derodontiformia,Polyphaga
Jacobsoniidae,Derodontoidea,Derodontiformia,Polyphaga
Dermestidae,Bostrichoidea,Bostrichiformia,Polyphaga
Endecatomidae,Bostrichoidea,Bostrichiformia,Polyphaga
Bostrichidae,Bostrichoidea,Bostrichiformia,Polyphaga
Ptinidae,Bostrichoidea,Bostrichiformia,Polyphaga
Lymexylidae,Lymexyloidea,Cucujiformia,Polyphaga
Phloiophilidae,Cleroidea,Cucujiformia,Polyphaga
Trogossitidae,Cleroidea,Cucujiformia,Polyphaga
Chaetosomatidae,Cleroidea,Cucujiformia,Polyphaga
Metaxinidae,Cleroidea,Cucujiformia,Polyphaga
Thanerocleridae,Cleroidea,Cucujiformia,Polyphaga
Cleridae,Cleroidea,Cucujiformia,Polyphaga
Acanthocnemidae,Cleroidea,Cucujiformia,Polyphaga
Phycosecidae,Cleroidea,Cucujiformia,Polyphaga
Prionoceridae,Cleroidea,Cucujiformia,Polyphaga
Mauroniscidae,Cleroidea,Cucujiformia,Polyphaga
Melyridae,Cleroidea,Cucujiformia,Polyphaga
Boganiidae,Cucujoidea,Cucujiformia,Polyphaga
Byturidae,Cucujoidea,Cucujiformia,Polyphaga
Helotidae,Cucujoidea,Cucujiformia,Polyphaga
Protocucujidae,Cucujoidea,Cucujiformia,Polyphaga
Sphindidae,Cucujoidea,Cucujiformia,Polyphaga
Biphyllidae,Cucujoidea,Cucujiformia,Polyphaga
Erotylidae,Cucujoidea,Cucujiformia,Polyphaga
Monotomidae,Cucujoidea,Cucujiformia,Polyphaga
Hobartiidae,Cucujoidea,Cucujiformia,Polyphaga
Cryptophagidae,Cucujoidea,Cucujiformia,Polyphaga
Agapythidae,Cucujoidea,Cucujiformia,Polyphaga
Priasilphidae,Cucujoidea,Cucujiformia,Polyphaga
Phloeostichidae,Cucujoidea,Cucujiformia,Polyphaga
Silvanidae,Cucujoidea,Cucujiformia,Polyphaga
Cucujidae,Cucujoidea,Cucujiformia,Polyphaga
Myraboliidae,Cucujoidea,Cucujiformia,Polyphaga
Cavognathidae,Cucujoidea,Cucujiformia,Polyphaga
Lamingtoniidae,Cucujoidea,Cucujiformia,Polyphaga
Passandridae,Cucujoidea,Cucujiformia,Polyphaga
Phalacridae,Cucujoidea,Cucujiformia,Polyphaga
Propalticidae,Cucujoidea,Cucujiformia,Polyphaga
Laemophloeidae,Cucujoidea,Cucujiformia,Polyphaga
Tasmosalpingidae,Cucujoidea,Cucujiformia,Polyphaga
Cyclaxyridae,Cucujoidea,Cucujiformia,Polyphaga
Kateretidae,Cucujoidea,Cucujiformia,Polyphaga
Nitidulidae,Cucujoidea,Cucujiformia,Polyphaga
Smicripidae,Cucujoidea,Cucujiformia,Polyphaga
Bothrideridae,Cucujoidea,Cucujiformia,Polyphaga
Cerylonidae,Cucujoidea,Cucujiformia,Polyphaga
Alexiidae,Cucujoidea,Cucujiformia,Polyphaga
Discolomatidae,Cucujoidea,Cucujiformia,Polyphaga
Endomychidae,Cucujoidea,Cucujiformia,Polyphaga
Coccinellidae,Cucujoidea,Cucujiformia,Polyphaga
Corylophidae,Cucujoidea,Cucujiformia,Polyphaga
Akalyptoischiidae,Cucujoidea,Cucujiformia,Polyphaga
Latridiidae,Cucujoidea,Cucujiformia,Polyphaga
Mycetophagidae,Tenebrionoidea,Cucujiformia,Polyphaga
Archeocrypticidae,Tenebrionoidea,Cucujiformia,Polyphaga
Pterogeniidae,Tenebrionoidea,Cucujiformia,Polyphaga
Ciidae,Tenebrionoidea,Cucujiformia,Polyphaga
Tetratomidae,Tenebrionoidea,Cucujiformia,Polyphaga
Melandryidae,Tenebrionoidea,Cucujiformia,Polyphaga
Mordellidae,Tenebrionoidea,Cucujiformia,Polyphaga
Rhipiphoridae,Tenebrionoidea,Cucujiformia,Polyphaga
Zopheridae,Tenebrionoidea,Cucujiformia,Polyphaga
Ulodidae,Tenebrionoidea,Cucujiformia,Polyphaga
Promecheilidae,Tenebrionoidea,Cucujiformia,Polyphaga
Chalcodryidae,Tenebrionoidea,Cucujiformia,Polyphaga
Trachelostenidae,Tenebrionoidea,Cucujiformia,Polyphaga
Tenebrionidae,Tenebrionoidea,Cucujiformia,Polyphaga
Prostomidae,Tenebrionoidea,Cucujiformia,Polyphaga
Synchroidae,Tenebrionoidea,Cucujiformia,Polyphaga
Stenotrachelidae,Tenebrionoidea,Cucujiformia,Polyphaga
Oedemeridae,Tenebrionoidea,Cucujiformia,Polyphaga
Meloidae,Tenebrionoidea,Cucujiformia,Polyphaga
Mycteridae,Tenebrionoidea,Cucujiformia,Polyphaga
Boridae,Tenebrionoidea,Cucujiformia,Polyphaga
Trictenotomidae,Tenebrionoidea,Cucujiformia,Polyphaga
Pythidae,Tenebrionoidea,Cucujiformia,Polyphaga
Pyrochroidae,Tenebrionoidea,Cucujiformia,Polyphaga
Salpingidae,Tenebrionoidea,Cucujiformia,Polyphaga
Anthicidae,Tenebrionoidea,Cucujiformia,Polyphaga
Aderidae,Tenebrionoidea,Cucujiformia,Polyphaga
Scraptiidae,Tenebrionoidea,Cucujiformia,Polyphaga
Oxypeltidae,Chrysomeloidea,Cucujiformia,Polyphaga
Vesperidae,Chrysomeloidea,Cucujiformia,Polyphaga
Disteniidae,Chrysomeloidea,Cucujiformia,Polyphaga
Cerambycidae,Chrysomeloidea,Cucujiformia,Polyphaga
Megalopodidae,Chrysomeloidea,Cucujiformia,Polyphaga
Orsodacnidae,Chrysomeloidea,Cucujiformia,Polyphaga
Chrysomelidae,Chrysomeloidea,Cucujiformia,Polyphaga
Nemonychidae,Curculionoidea,Cucujiformia,Polyphaga
Anthribidae,Curculionoidea,Cucujiformia,Polyphaga
Belidae,Curculionoidea,Cucujiformia,Polyphaga
Caridae,Curculionoidea,Cucujiformia,Polyphaga
Attelabidae,Curculionoidea,Cucujiformia,Polyphaga
Brentidae,Curculionoidea,Cucujiformia,Polyphaga
Dryophthoridae,Curculionoidea,Cucujiformia,Polyphaga
Brachyceridae,Curculionoidea,Cucujiformia,Polyphaga
Curculionidae,Curculionoidea,Cucujiformia,Polyphaga
